date,ust_2y,ust_5y,ust_10y,ust_30y,spread_2s10s,spread_5s30s,spread_2s30s,spread_10s30s,spread_5s10s
2026-08-17,4.17,4.376,4.724,5.309,55.4,93.3,113.9,58.5,34.8
2026-08-18,4.17,4.367,4.706,5.285,53.6,91.8,111.5,57.9,33.9
2026-08-19,4.17,4.353,4.653,5.194,48.3,84.1,102.4,54.1,30.0
2026-08-20,4.17,4.387,4.696,5.237,52.6,85.0,106.7,54.1,30.9
2026-08-21,4.17,4.424,4.738,5.276,56.8,85.2,110.6,53.8,31.4
2026-08-24,4.17,4.408,4.704,5.231,53.4,82.3,106.1,52.7,29.6
2026-08-25,4.17,4.351,4.639,5.174,46.9,82.3,100.4,53.5,28.8
2026-08-26,4.17,4.381,4.664,5.186,49.4,80.5,101.6,52.2,28.3
2026-08-27,4.17,4.396,4.672,5.191,50.2,79.5,102.1,51.9,27.6
2026-08-28,4.17,4.481,4.72,5.206,55.0,72.5,103.6,48.6,23.9
2026-08-31,4.349,4.507,4.758,5.249,40.9,74.2,90.0,49.1,25.1
2026-09-01,4.19,4.557,4.796,5.268,60.6,71.1,107.8,47.2,23.9
2026-09-02,4.2,4.552,4.796,5.267,59.6,71.5,106.7,47.1,24.4
2026-09-03,4.2,4.509,4.762,5.243,56.2,73.4,104.3,48.1,25.3
2026-09-04,4.2,4.55,4.784,5.246,58.4,69.6,104.6,46.2,23.4
2026-09-08,4.2,4.573,4.806,5.264,60.6,69.1,106.4,45.8,23.3
2026-09-09,4.182,4.614,4.837,5.286,65.5,67.2,110.4,44.9,22.3
2026-09-10,4.375,4.733,4.944,5.361,56.9,62.8,98.6,41.7,21.1
2026-09-11,4.38,4.791,4.975,5.354,59.5,56.3,97.4,37.9,18.4
2026-09-14,4.382,4.79,4.961,5.329,57.9,53.9,94.7,36.8,17.1
2026-09-15,4.385,4.826,4.996,5.364,61.1,53.8,97.9,36.8,17.0
2026-09-16,4.395,4.859,5.006,5.349,61.1,49.0,95.4,34.3,14.7
2026-09-17,4.404,4.801,4.947,5.296,54.3,49.5,89.2,34.9,14.6
2026-09-18,4.416,4.856,4.998,5.331,58.2,47.5,91.5,33.3,14.2
2026-09-21,4.422,4.834,4.963,5.296,54.1,46.2,87.4,33.3,12.9
2026-09-22,4.422,4.842,4.968,5.303,54.6,46.1,88.1,33.5,12.6
